Task ID,Technician ID,completion_prob
J051,T010,0.96131974
J052,T009,0.6632867
J053,T002,0.9918594
J054,T002,0.9626034
J055,T002,0.986808
J056,T003,0.9539744
J057,T006,0.43558422
J058,T005,0.7605763
J059,T003,0.9539744
J060,T007,0.60318476
J061,T002,0.95715827
J062,T003,0.96828175
J063,T004,0.5241053
J064,T005,0.36960578
J065,T009,0.9364076
J066,T002,0.9068933
J067,T005,0.48926347
J068,T006,0.42739996
J069,T001,0.46956107
J070,T006,0.62606955
J071,T002,0.89812684
J072,T001,0.30383095
J073,T010,0.6072826
J074,T010,0.93849313
J075,T009,0.9075609
J076,T003,0.74602103
J077,T002,0.95715827
J078,T007,0.60318476
J079,T005,0.91185623
J080,T002,0.97514504
J081,T005,0.65283436
J082,T001,0.22208756
J083,T010,0.93849313
J084,T003,0.9539744
J085,T007,0.52208287
J086,T003,0.9532233
J087,T006,0.7038441
J088,T006,0.43558422
J089,T002,0.9800309
J090,T010,0.6072826
J091,T009,0.9075609
J092,T010,0.96131974
J093,T010,0.96204066
J094,T006,0.42739996
J095,T010,0.6902501
J096,T002,0.9633793
J097,T002,0.9125436
J098,T001,0.34853867
J099,T003,0.74602103
J100,T004,0.14041358
J101,T003,0.9532233
J102,T009,0.30910897
J103,T004,0.22616631
J104,T003,0.9539744
J105,T006,0.4479129
J106,T002,0.6894533
J107,T009,0.50387025
J108,T002,0.95715827
J109,T010,0.8473612
J110,T009,0.9226832
J111,T002,0.9918594
J112,T001,0.6715605
J113,T009,0.9075609
J114,T008,0.2960438
J115,T008,0.14067958
J116,T008,0.6899958
J117,T001,0.25124666
J118,T004,0.5241053
J119,T002,0.90967256
J120,T009,0.9226832
J121,T007,0.60318476
J122,T003,0.5455566
J123,T001,0.09346941
J124,T003,0.90994734
J125,T004,0.5959759
J126,T008,0.18183398
J127,T007,0.50071657
J128,T010,0.9181825
J129,T005,0.8602951
J130,T002,0.9800309
J131,T008,0.64777315
J132,T008,0.62207085
J133,T006,0.45375964
J134,T009,0.9075609
J135,T005,0.91185623
J136,T006,0.8135264
J137,T005,0.7562495
J138,T001,0.21637684
J139,T002,0.9800309
J140,T001,0.77185476
J141,T007,0.46470746
J142,T003,0.9539744
J143,T005,0.6603571
J144,T010,0.96480775
J145,T003,0.74602103
J146,T005,0.7605763
J147,T008,0.21268982
J148,T003,0.79988116
J149,T002,0.93204933
J150,T003,0.96828175
J151,T002,0.9633793
J152,T010,0.52739686
J153,T009,0.81824565
J154,T007,0.46470746
J155,T009,0.69625777
J156,T009,0.888353
J157,T002,0.98473305
J158,T010,0.6839948
J159,T006,0.78512555
J160,T009,0.50387025
J161,T010,0.8448135
J162,T003,0.8668516
J163,T002,0.9125436
J164,T002,0.68226504
J165,T005,0.66937876
J166,T009,0.50387025
J167,T009,0.1925668
J168,T001,0.54896295
J169,T005,0.7505398
J170,T005,0.935663
J171,T003,0.9539744
J172,T002,0.98473305
J173,T003,0.80813706
J174,T010,0.8912132
J175,T003,0.8506866
J176,T005,0.36960578
J177,T008,0.26989836
J178,T004,0.5241053
J179,T010,0.42009386
J180,T010,0.7678306
J181,T003,0.8668516
J182,T005,0.9481723
J183,T003,0.74602103
J184,T003,0.9539744
J185,T001,0.6715605
J186,T006,0.78512555
J187,T005,0.65283436
J188,T001,0.31049308
J189,T003,0.9802854
J190,T010,0.9181825
J191,T003,0.9539744
J192,T002,0.95715827
J193,T005,0.91185623
J194,T010,0.52739686
J195,T003,0.8969612
J196,T007,0.3589125
J197,T008,0.38418925
J198,T002,0.68226504
J199,T008,0.26989836
J200,T004,0.16555381
J201,T007,0.46470746
J202,T006,0.17001002
J203,T006,0.89869326
J204,T002,0.9844244
J205,T009,0.9364076
J206,T003,0.9532233
J207,T002,0.9642076
J208,T001,0.25124666
J209,T006,0.43558422
J210,T007,0.53315365
J211,T001,0.25124666
J212,T005,0.70950633
J213,T003,0.81143355
J214,T007,0.2852588
J215,T002,0.9818827
J216,T008,0.49727514
J217,T004,0.1444891
J218,T010,0.9439194
J219,T002,0.93204933
J220,T003,0.42723566
J221,T002,0.93204933
J222,T010,0.96480775
J223,T010,0.9120834
J224,T003,0.8969612
J225,T007,0.5859937
J226,T009,0.69625777
J227,T006,0.42739996
J228,T006,0.74870366
J229,T003,0.74602103
J230,T002,0.9918594
J231,T010,0.6902501
J232,T010,0.9105019
J233,T007,0.5177274
J234,T004,0.31612673
J235,T004,0.17287241
J236,T008,0.649943
J237,T010,0.96204066
J238,T010,0.9439194
J239,T009,0.9075609
J240,T007,0.606578
J241,T002,0.93204933
J242,T002,0.98473305
J243,T010,0.71082884
J244,T007,0.59907395
J245,T001,0.54896295
J246,T002,0.9626034
J247,T007,0.2869074
J248,T001,0.29682037
J249,T002,0.9068933
J250,T006,0.74870366
